,number,created_at,updated_at,url,html_url,state,fixed_at,dismissed_by,dismissed_at,dismissed_reason,dismissed_comment,instances_url,rule.id,rule.severity,rule.description,rule.name,rule.tags,rule.security_severity_level,tool.name,tool.guid,tool.version,most_recent_instance.ref,most_recent_instance.analysis_key,most_recent_instance.environment,most_recent_instance.category,most_recent_instance.state,most_recent_instance.commit_sha,most_recent_instance.message.text,most_recent_instance.location.path,most_recent_instance.location.start_line,most_recent_instance.location.end_line,most_recent_instance.location.start_column,most_recent_instance.location.end_column,most_recent_instance.classifications,repo_name
3,125,2024-05-20T17:46:25Z,2024-05-20T17:46:26Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/125,https://github.com/fcas/catboost/security/code-scanning/125,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/125/instances,js/prototype-pollution-utility,warning,Prototype-polluting function,js/prototype-pollution-utility,"['external/cwe/cwe-078', 'external/cwe/cwe-079', 'external/cwe/cwe-094', 'external/cwe/cwe-400', 'external/cwe/cwe-471', 'external/cwe/cwe-915', 'security']",medium,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""javascript-typescript""}",/language:javascript-typescript,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,The property chain here is recursively assigned to tmpObj without guarding against prototype pollution.,contrib/python/plotly/py2/plotlywidget/static/index.js,131644,131644,17,23,[],catboost
4,124,2024-05-20T17:46:25Z,2024-05-20T17:46:26Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/124,https://github.com/fcas/catboost/security/code-scanning/124,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/124/instances,js/prototype-pollution-utility,warning,Prototype-polluting function,js/prototype-pollution-utility,"['external/cwe/cwe-078', 'external/cwe/cwe-079', 'external/cwe/cwe-094', 'external/cwe/cwe-400', 'external/cwe/cwe-471', 'external/cwe/cwe-915', 'security']",medium,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""javascript-typescript""}",/language:javascript-typescript,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,The property chain here is recursively assigned to r without guarding against prototype pollution.,contrib/python/plotly/py3/jupyterlab_plotly/nbextension/index.js,2,2,428969,428970,[],catboost
5,123,2024-05-20T17:46:25Z,2024-05-20T17:46:26Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/123,https://github.com/fcas/catboost/security/code-scanning/123,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/123/instances,js/prototype-pollution-utility,warning,Prototype-polluting function,js/prototype-pollution-utility,"['external/cwe/cwe-078', 'external/cwe/cwe-079', 'external/cwe/cwe-094', 'external/cwe/cwe-400', 'external/cwe/cwe-471', 'external/cwe/cwe-915', 'security']",medium,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""javascript-typescript""}",/language:javascript-typescript,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,The property chain here is recursively assigned to r without guarding against prototype pollution.,contrib/python/plotly/py3/jupyterlab_plotly/labextension/static/478.af17b0e3814445a7895a.js,2,2,358858,358859,[],catboost
6,122,2024-05-20T17:46:25Z,2024-05-20T17:46:26Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/122,https://github.com/fcas/catboost/security/code-scanning/122,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/122/instances,js/incomplete-sanitization,warning,Incomplete string escaping or encoding,js/incomplete-sanitization,"['correctness', 'external/cwe/cwe-020', 'external/cwe/cwe-080', 'external/cwe/cwe-116', 'security']",high,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""javascript-typescript""}",/language:javascript-typescript,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,This replaces only the first occurrence of '$'.,contrib/python/plotly/py2/plotlywidget/static/index.js,31163,31164,5,17,[],catboost
7,121,2024-05-20T17:46:25Z,2024-05-20T17:46:26Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/121,https://github.com/fcas/catboost/security/code-scanning/121,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/121/instances,js/incomplete-sanitization,warning,Incomplete string escaping or encoding,js/incomplete-sanitization,"['correctness', 'external/cwe/cwe-020', 'external/cwe/cwe-080', 'external/cwe/cwe-116', 'security']",high,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""javascript-typescript""}",/language:javascript-typescript,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,This does not escape backslash characters in the input.,contrib/python/plotly/py3/jupyterlab_plotly/labextension/static/423.d0d3e2912c33c7566484.js,1,1,4441,4450,[],catboost
8,120,2024-05-20T17:46:25Z,2024-05-20T17:46:26Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/120,https://github.com/fcas/catboost/security/code-scanning/120,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/120/instances,js/incomplete-url-substring-sanitization,warning,Incomplete URL substring sanitization,js/incomplete-url-substring-sanitization,"['correctness', 'external/cwe/cwe-020', 'security']",high,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""javascript-typescript""}",/language:javascript-typescript,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,'https://api.mapbox.com' may be followed by an arbitrary host name.,contrib/python/plotly/py3/jupyterlab_plotly/nbextension/index.js,2,2,2236990,2237040,[],catboost
9,119,2024-05-20T17:46:25Z,2024-05-20T17:46:26Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/119,https://github.com/fcas/catboost/security/code-scanning/119,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/119/instances,js/incomplete-url-substring-sanitization,warning,Incomplete URL substring sanitization,js/incomplete-url-substring-sanitization,"['correctness', 'external/cwe/cwe-020', 'security']",high,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""javascript-typescript""}",/language:javascript-typescript,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,'https://api.mapbox.cn' may be followed by an arbitrary host name.,contrib/python/plotly/py3/jupyterlab_plotly/nbextension/index.js,2,2,2236903,2236952,[],catboost
10,118,2024-05-20T17:46:25Z,2024-05-20T17:46:26Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/118,https://github.com/fcas/catboost/security/code-scanning/118,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/118/instances,js/incomplete-url-substring-sanitization,warning,Incomplete URL substring sanitization,js/incomplete-url-substring-sanitization,"['correctness', 'external/cwe/cwe-020', 'security']",high,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""javascript-typescript""}",/language:javascript-typescript,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,'https://api.mapbox.com' may be followed by an arbitrary host name.,contrib/python/plotly/py3/jupyterlab_plotly/labextension/static/478.af17b0e3814445a7895a.js,2,2,2166879,2166929,[],catboost
11,117,2024-05-20T17:46:25Z,2024-05-20T17:46:26Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/117,https://github.com/fcas/catboost/security/code-scanning/117,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/117/instances,js/incomplete-url-substring-sanitization,warning,Incomplete URL substring sanitization,js/incomplete-url-substring-sanitization,"['correctness', 'external/cwe/cwe-020', 'security']",high,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""javascript-typescript""}",/language:javascript-typescript,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,'https://api.mapbox.cn' may be followed by an arbitrary host name.,contrib/python/plotly/py3/jupyterlab_plotly/labextension/static/478.af17b0e3814445a7895a.js,2,2,2166792,2166841,[],catboost
12,116,2024-05-20T17:46:25Z,2024-05-20T17:46:26Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/116,https://github.com/fcas/catboost/security/code-scanning/116,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/116/instances,js/incomplete-url-substring-sanitization,warning,Incomplete URL substring sanitization,js/incomplete-url-substring-sanitization,"['correctness', 'external/cwe/cwe-020', 'security']",high,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""javascript-typescript""}",/language:javascript-typescript,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,'https://api.mapbox.com' may be followed by an arbitrary host name.,contrib/python/plotly/py2/plotlywidget/static/index.js,80945,80945,6496,6546,[],catboost
13,115,2024-05-20T17:46:25Z,2024-05-20T17:46:26Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/115,https://github.com/fcas/catboost/security/code-scanning/115,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/115/instances,js/incomplete-url-substring-sanitization,warning,Incomplete URL substring sanitization,js/incomplete-url-substring-sanitization,"['correctness', 'external/cwe/cwe-020', 'security']",high,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""javascript-typescript""}",/language:javascript-typescript,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,'https://api.mapbox.cn' may be followed by an arbitrary host name.,contrib/python/plotly/py2/plotlywidget/static/index.js,80945,80945,6409,6458,[],catboost
14,114,2024-05-19T18:49:11Z,2024-05-19T18:49:14Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/114,https://github.com/fcas/catboost/security/code-scanning/114,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/114/instances,py/clear-text-logging-sensitive-data,error,Clear-text logging of sensitive information,py/clear-text-logging-sensitive-data,"['external/cwe/cwe-312', 'external/cwe/cwe-359', 'external/cwe/cwe-532', 'security']",high,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""python""}",/language:python,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,"This expression logs sensitive data (password) as clear text.
This expression logs sensitive data (password) as clear text.
This expression logs sensitive data (password) as clear text.
This expression logs sensitive data (password) as clear text.
This expression logs sensitive data (password) as clear text.
This expression logs sensitive data (password) as clear text.
This expression logs sensitive data (password) as clear text.
This expression logs sensitive data (password) as clear text.
This expression logs sensitive data (password) as clear text.",contrib/tools/python3/Lib/imaplib.py,1251,1251,30,72,[],catboost
15,113,2024-05-19T18:49:11Z,2024-05-19T18:49:14Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/113,https://github.com/fcas/catboost/security/code-scanning/113,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/113/instances,py/clear-text-storage-sensitive-data,error,Clear-text storage of sensitive information,py/clear-text-storage-sensitive-data,"['external/cwe/cwe-312', 'external/cwe/cwe-315', 'external/cwe/cwe-359', 'security']",high,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""python""}",/language:python,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,"This expression stores sensitive data (password) as clear text.
This expression stores sensitive data (password) as clear text.
This expression stores sensitive data (password) as clear text.
This expression stores sensitive data (password) as clear text.
This expression stores sensitive data (password) as clear text.
This expression stores sensitive data (password) as clear text.
This expression stores sensitive data (password) as clear text.
This expression stores sensitive data (password) as clear text.",contrib/python/setuptools/py3/setuptools/_distutils/config.py,48,48,21,58,[],catboost
16,112,2024-05-19T18:49:11Z,2024-05-19T18:49:14Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/112,https://github.com/fcas/catboost/security/code-scanning/112,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/112/instances,py/clear-text-storage-sensitive-data,error,Clear-text storage of sensitive information,py/clear-text-storage-sensitive-data,"['external/cwe/cwe-312', 'external/cwe/cwe-315', 'external/cwe/cwe-359', 'security']",high,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""python""}",/language:python,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,"This expression stores sensitive data (secret) as clear text.
This expression stores sensitive data (secret) as clear text.
This expression stores sensitive data (secret) as clear text.",contrib/python/pyzmq/py2/zmq/auth/certs.py,51,51,21,71,[],catboost
17,111,2024-05-19T18:49:11Z,2024-05-19T18:49:14Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/111,https://github.com/fcas/catboost/security/code-scanning/111,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/111/instances,py/clear-text-storage-sensitive-data,error,Clear-text storage of sensitive information,py/clear-text-storage-sensitive-data,"['external/cwe/cwe-312', 'external/cwe/cwe-315', 'external/cwe/cwe-359', 'security']",high,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""python""}",/language:python,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,"This expression stores sensitive data (secret) as clear text.
This expression stores sensitive data (certificate) as clear text.
This expression stores sensitive data (certificate) as clear text.",contrib/python/pyzmq/py2/zmq/auth/certs.py,36,36,17,55,[],catboost
18,110,2024-05-19T18:49:11Z,2024-05-19T18:49:14Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/110,https://github.com/fcas/catboost/security/code-scanning/110,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/110/instances,py/clear-text-storage-sensitive-data,error,Clear-text storage of sensitive information,py/clear-text-storage-sensitive-data,"['external/cwe/cwe-312', 'external/cwe/cwe-315', 'external/cwe/cwe-359', 'security']",high,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""python""}",/language:python,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,"This expression stores sensitive data (secret) as clear text.
This expression stores sensitive data (secret) as clear text.
This expression stores sensitive data (secret) as clear text.",contrib/python/pyzmq/py3/zmq/auth/certs.py,59,59,21,59,[],catboost
19,109,2024-05-19T18:49:11Z,2024-05-19T18:49:14Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/109,https://github.com/fcas/catboost/security/code-scanning/109,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/109/instances,py/clear-text-storage-sensitive-data,error,Clear-text storage of sensitive information,py/clear-text-storage-sensitive-data,"['external/cwe/cwe-312', 'external/cwe/cwe-315', 'external/cwe/cwe-359', 'security']",high,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""python""}",/language:python,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,"This expression stores sensitive data (secret) as clear text.
This expression stores sensitive data (certificate) as clear text.
This expression stores sensitive data (certificate) as clear text.",contrib/python/pyzmq/py3/zmq/auth/certs.py,44,44,17,55,[],catboost
20,108,2024-05-19T18:49:11Z,2024-05-19T18:49:14Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/108,https://github.com/fcas/catboost/security/code-scanning/108,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/108/instances,py/paramiko-missing-host-key-validation,error,Accepting unknown SSH host keys when using Paramiko,py/paramiko-missing-host-key-validation,"['external/cwe/cwe-295', 'security']",high,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""python""}",/language:python,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,Setting missing host key policy to WarningPolicy may be unsafe.,contrib/python/pyzmq/py2/zmq/ssh/tunnel.py,333,333,5,65,[],catboost
21,107,2024-05-19T18:49:11Z,2024-05-19T18:49:14Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/107,https://github.com/fcas/catboost/security/code-scanning/107,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/107/instances,py/paramiko-missing-host-key-validation,error,Accepting unknown SSH host keys when using Paramiko,py/paramiko-missing-host-key-validation,"['external/cwe/cwe-295', 'security']",high,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""python""}",/language:python,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,Setting missing host key policy to WarningPolicy may be unsafe.,contrib/python/pyzmq/py2/zmq/ssh/tunnel.py,115,115,5,65,[],catboost
22,106,2024-05-19T18:49:11Z,2024-05-19T18:49:14Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/106,https://github.com/fcas/catboost/security/code-scanning/106,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/106/instances,py/paramiko-missing-host-key-validation,error,Accepting unknown SSH host keys when using Paramiko,py/paramiko-missing-host-key-validation,"['external/cwe/cwe-295', 'security']",high,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""python""}",/language:python,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,Setting missing host key policy to WarningPolicy may be unsafe.,contrib/python/pyzmq/py3/zmq/ssh/tunnel.py,387,387,5,65,[],catboost
23,105,2024-05-19T18:49:11Z,2024-05-19T18:49:14Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/105,https://github.com/fcas/catboost/security/code-scanning/105,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/105/instances,py/paramiko-missing-host-key-validation,error,Accepting unknown SSH host keys when using Paramiko,py/paramiko-missing-host-key-validation,"['external/cwe/cwe-295', 'security']",high,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""python""}",/language:python,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,Setting missing host key policy to WarningPolicy may be unsafe.,contrib/python/jupyter-client/py3/jupyter_client/ssh/tunnel.py,400,400,5,65,[],catboost
24,104,2024-05-19T18:49:11Z,2024-05-19T18:49:14Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/104,https://github.com/fcas/catboost/security/code-scanning/104,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/104/instances,py/paramiko-missing-host-key-validation,error,Accepting unknown SSH host keys when using Paramiko,py/paramiko-missing-host-key-validation,"['external/cwe/cwe-295', 'security']",high,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""python""}",/language:python,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,Setting missing host key policy to WarningPolicy may be unsafe.,contrib/python/jupyter-client/py3/jupyter_client/ssh/tunnel.py,117,117,5,65,[],catboost
25,103,2024-05-19T18:49:11Z,2024-05-19T18:49:14Z,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/103,https://github.com/fcas/catboost/security/code-scanning/103,open,,,,,,https://api.github.com/repos/fcas/catboost/code-scanning/alerts/103/instances,py/insecure-temporary-file,error,Insecure temporary file,py/insecure-temporary-file,"['external/cwe/cwe-377', 'security']",high,CodeQL,,2.17.2,refs/heads/master,.github/workflows/codeql.yml:analyze,"{""build-mode"":""none"",""language"":""python""}",/language:python,open,bf18c34279ec5c5f0cb8308cd6a2b5420549216a,Call to deprecated function tempfile.mktemp may be insecure.,contrib/tools/python3/Lib/msilib/__init__.py,217,217,20,28,[],catboost
