repo,url,fork_url,codeql_status,codeql_last_analysis,dependabot_status,dependabot_last_alert
DI-engine,https://github.com/opendilab/DI-engine,https://github.com/anonymized-for-blind-review/DI-engine,200,2024-07-25T09:34:11Z,200,2026-07-24T00:34:32Z
face_recognition,https://github.com/ageitgey/face_recognition,https://github.com/anonymized-for-blind-review/face_recognition,200,2024-07-18T09:35:54Z,200,2026-08-04T12:31:34Z
zipline,https://github.com/quantopian/zipline,https://github.com/anonymized-for-blind-review/zipline,200,2024-09-12T09:37:09Z,200,2026-07-22T12:32:06Z
detecto,https://github.com/alankbi/detecto,https://github.com/anonymized-for-blind-review/detecto,200,2024-07-18T09:39:04Z,200,2026-07-17T18:30:40Z
streamlit,https://github.com/streamlit/streamlit,https://github.com/anonymized-for-blind-review/streamlit,200,2024-11-14T09:36:42Z,200,2026-08-12T21:49:06Z
matplotlib,https://github.com/matplotlib/matplotlib,https://github.com/anonymized-for-blind-review/matplotlib,200,2025-12-25T09:43:17Z,200,2026-07-22T12:36:03Z
lifelines,https://github.com/CamDavidsonPilon/lifelines,https://github.com/anonymized-for-blind-review/lifelines,200,2024-07-25T09:33:38Z,200,
lightwood,https://github.com/mindsdb/lightwood,https://github.com/anonymized-for-blind-review/lightwood,200,2024-10-24T09:35:18Z,200,2026-08-13T21:35:32Z
ViZDoom,https://github.com/Farama-Foundation/ViZDoom,https://github.com/anonymized-for-blind-review/ViZDoom,200,2024-07-25T09:35:10Z,200,
xgboost,https://github.com/dmlc/xgboost,https://github.com/anonymized-for-blind-review/xgboost,200,2024-07-18T09:30:27Z,200,2025-07-12T01:28:08Z
feast,https://github.com/feast-dev/feast,https://github.com/anonymized-for-blind-review/feast,200,2026-01-01T09:42:40Z,200,
ipychart,https://github.com/nicohlr/ipychart,https://github.com/anonymized-for-blind-review/ipychart,200,2024-07-25T09:33:15Z,200,
altair,https://github.com/vega/altair,https://github.com/anonymized-for-blind-review/altair,200,2025-12-25T09:40:30Z,200,
nupic.studio,https://github.com/htm-community/nupic.studio,https://github.com/anonymized-for-blind-review/nupic.studio,200,2024-07-25T09:37:44Z,200,2026-07-22T12:50:12Z
pomegranate,https://github.com/jmschrei/pomegranate,https://github.com/anonymized-for-blind-review/pomegranate,200,2024-07-18T09:36:32Z,200,2025-03-06T03:22:33Z
nut,https://github.com/pprett/nut,https://github.com/anonymized-for-blind-review/nut,200,2024-07-18T09:30:34Z,200,
pytorch_geometric,https://github.com/pyg-team/pytorch_geometric,https://github.com/anonymized-for-blind-review/pytorch_geometric,200,2024-07-18T09:33:05Z,200,
joliGEN,https://github.com/jolibrain/joliGEN,https://github.com/anonymized-for-blind-review/joliGEN,200,2024-07-18T09:35:07Z,200,2026-07-17T20:49:18Z
pynlpl,https://github.com/proycon/pynlpl,https://github.com/anonymized-for-blind-review/pynlpl,200,2024-07-18T09:42:15Z,200,
jellyfish,https://github.com/jamesturk/jellyfish,https://github.com/anonymized-for-blind-review/jellyfish,200,2024-07-18T09:30:29Z,200,2026-06-12T20:18:37Z
stacked_generalization,https://github.com/fukatani/stacked_generalization,https://github.com/anonymized-for-blind-review/stacked_generalization,200,2024-07-25T09:35:16Z,200,
shapley,https://github.com/benedekrozemberczki/shapley,https://github.com/anonymized-for-blind-review/shapley,200,2024-07-18T09:41:10Z,200,
LightGBM,https://github.com/microsoft/LightGBM,https://github.com/anonymized-for-blind-review/LightGBM,200,2025-12-25T09:41:24Z,200,
detectron2,https://github.com/facebookresearch/detectron2,https://github.com/anonymized-for-blind-review/detectron2,200,2024-07-18T09:42:27Z,200,
imbalanced-ensemble,https://github.com/ZhiningLiu1998/imbalanced-ensemble,https://github.com/anonymized-for-blind-review/imbalanced-ensemble,200,2024-07-18T09:33:45Z,200,
skbel,https://github.com/robinthibaut/skbel,https://github.com/anonymized-for-blind-review/skbel,200,2024-09-12T09:33:39Z,200,2026-07-22T17:21:03Z
aim,https://github.com/aimhubio/aim,https://github.com/anonymized-for-blind-review/aim,200,2025-12-25T09:40:27Z,200,
ray,https://github.com/ray-project/ray,https://github.com/anonymized-for-blind-review/ray,200,2024-10-24T09:38:13Z,200,2026-08-13T21:35:33Z
stanford-corenlp-python,https://github.com/dasmith/stanford-corenlp-python,https://github.com/anonymized-for-blind-review/stanford-corenlp-python,200,2024-07-18T09:35:47Z,200,
scikit-learn,https://github.com/scikit-learn/scikit-learn,https://github.com/anonymized-for-blind-review/scikit-learn,200,2025-12-25T09:44:42Z,200,2026-04-13T19:07:05Z
crab,https://github.com/muricoca/crab,https://github.com/anonymized-for-blind-review/crab,200,2024-07-18T09:33:22Z,200,
autogluon,https://github.com/autogluon/autogluon,https://github.com/anonymized-for-blind-review/autogluon,200,2025-12-25T09:40:49Z,200,
neurolab,https://github.com/zueve/neurolab,https://github.com/anonymized-for-blind-review/neurolab,200,2024-07-18T09:43:36Z,200,
statsmodels,https://github.com/statsmodels/statsmodels,https://github.com/anonymized-for-blind-review/statsmodels,200,2025-12-25T09:43:51Z,200,2025-03-06T00:25:04Z
Lasagne,https://github.com/Lasagne/Lasagne,https://github.com/anonymized-for-blind-review/Lasagne,200,2024-07-18T09:34:20Z,200,2025-03-05T23:11:52Z
Sklearn-genetic-opt,https://github.com/rodrigo-arenas/Sklearn-genetic-opt,https://github.com/anonymized-for-blind-review/Sklearn-genetic-opt,200,2024-07-25T09:31:18Z,200,2026-08-04T05:25:46Z
shogun,https://github.com/shogun-toolbox/shogun,https://github.com/anonymized-for-blind-review/shogun,200,2024-07-18T09:32:50Z,200,
pytesseract,https://github.com/madmaze/pytesseract,https://github.com/anonymized-for-blind-review/pytesseract,200,2024-07-18T09:40:56Z,200,
sentiment-analyzer,https://github.com/madhusudancs/sentiment-analyzer,https://github.com/anonymized-for-blind-review/sentiment-analyzer,200,2024-07-25T09:33:05Z,200,
retro,https://github.com/openai/retro,https://github.com/anonymized-for-blind-review/retro,200,2024-09-19T09:36:57Z,200,2026-07-23T20:27:09Z
sequitur,https://github.com/shobrook/sequitur,https://github.com/anonymized-for-blind-review/sequitur,200,2024-07-25T09:37:00Z,200,
rexmex,https://github.com/AstraZeneca/rexmex,https://github.com/anonymized-for-blind-review/rexmex,200,2024-07-18T09:31:04Z,200,
topicwizard,https://github.com/x-tabdeveloping/topicwizard,https://github.com/anonymized-for-blind-review/topicwizard,200,2024-07-18T09:32:30Z,200,2026-07-23T01:43:47Z
neofuzz,https://github.com/x-tabdeveloping/neofuzz,https://github.com/anonymized-for-blind-review/neofuzz,200,2024-07-18T09:30:19Z,200,2024-06-18T01:15:07Z
segmentation_models.pytorch,https://github.com/qubvel/segmentation_models.pytorch,https://github.com/anonymized-for-blind-review/segmentation_models.pytorch,200,2024-09-19T09:33:53Z,200,
dowel,https://github.com/rlworkgroup/dowel,https://github.com/anonymized-for-blind-review/dowel,200,2024-07-25T09:31:18Z,200,
optuna,https://github.com/optuna/optuna,https://github.com/anonymized-for-blind-review/optuna,200,2024-07-25T09:33:07Z,200,
river,https://github.com/online-ml/river,https://github.com/anonymized-for-blind-review/river,200,2024-10-24T09:34:50Z,200,2026-08-09T10:28:31Z
pandas,https://github.com/pandas-dev/pandas,https://github.com/anonymized-for-blind-review/pandas,200,2025-12-25T10:00:16Z,200,
snownlp,https://github.com/isnowfy/snownlp,https://github.com/anonymized-for-blind-review/snownlp,200,2024-07-18T09:36:59Z,200,
suiron,https://github.com/kendricktan/suiron,https://github.com/anonymized-for-blind-review/suiron,200,2024-08-22T09:32:19Z,200,2026-07-10T04:00:16Z
jax,https://github.com/google/jax,https://github.com/anonymized-for-blind-review/jax,200,2024-09-19T09:36:23Z,200,2026-07-24T11:14:54Z
pyqtgraph,https://github.com/pyqtgraph/pyqtgraph,https://github.com/anonymized-for-blind-review/pyqtgraph,200,2024-07-25T09:32:04Z,200,
colibri-core,https://github.com/proycon/colibri-core,https://github.com/anonymized-for-blind-review/colibri-core,200,2024-07-18T09:41:14Z,200,
neuraltalk2,https://github.com/karpathy/neuraltalk2,https://github.com/anonymized-for-blind-review/neuraltalk2,200,2024-07-25T09:34:52Z,200,
chainer,https://github.com/chainer/chainer,https://github.com/anonymized-for-blind-review/chainer,200,2025-12-25T09:45:13Z,200,2026-04-02T00:11:53Z
rgf,https://github.com/RGF-team/rgf,https://github.com/anonymized-for-blind-review/rgf,200,2024-07-18T09:39:26Z,200,
vigra,https://github.com/ukoethe/vigra,https://github.com/anonymized-for-blind-review/vigra,200,2024-07-18T09:43:07Z,200,2024-05-24T01:33:27Z
BayesPy,https://github.com/maxsklar/BayesPy,https://github.com/anonymized-for-blind-review/BayesPy,200,2025-12-25T09:41:14Z,200,
shapash,https://github.com/MAIF/shapash,https://github.com/anonymized-for-blind-review/shapash,200,2024-07-25T09:31:13Z,200,2026-02-20T17:42:50Z
dirty_cat,https://github.com/dirty-cat/dirty_cat,https://github.com/anonymized-for-blind-review/dirty_cat,200,2024-07-25T09:35:31Z,200,
bentoml,https://github.com/bentoml/bentoml,https://github.com/anonymized-for-blind-review/bentoml,200,2025-12-25T09:42:57Z,200,2026-08-07T21:06:23Z
openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,https://github.com/anonymized-for-blind-review/openpose,200,2024-07-18T09:36:28Z,200,
deepchecks,https://github.com/deepchecks/deepchecks,https://github.com/anonymized-for-blind-review/deepchecks,200,2024-09-26T09:35:29Z,200,2026-08-13T20:45:10Z
gensim,https://github.com/piskvorky/gensim,https://github.com/anonymized-for-blind-review/gensim,200,2025-12-25T09:40:30Z,200,2026-08-13T20:58:45Z
rep,https://github.com/yandex/rep,https://github.com/anonymized-for-blind-review/rep,200,2024-08-22T09:34:19Z,200,2026-03-26T15:28:20Z
simpleai,https://github.com/simpleai-team/simpleai,https://github.com/anonymized-for-blind-review/simpleai,200,2024-07-18T09:36:34Z,200,
cortex,https://github.com/cortexlabs/cortex,https://github.com/anonymized-for-blind-review/cortex,200,2024-11-07T09:32:10Z,200,2026-07-24T10:24:11Z
gan,https://github.com/tensorflow/gan,https://github.com/anonymized-for-blind-review/gan,200,2024-07-18T09:30:34Z,200,
caffe,https://github.com/BVLC/caffe,https://github.com/anonymized-for-blind-review/caffe,200,2025-12-25T09:43:44Z,200,
cleanlab,https://github.com/cleanlab/cleanlab,https://github.com/anonymized-for-blind-review/cleanlab,200,2024-10-31T09:36:32Z,200,2026-07-17T19:40:07Z
mlxtend,https://github.com/rasbt/mlxtend,https://github.com/anonymized-for-blind-review/mlxtend,200,2024-07-18T09:32:26Z,200,
tesseract,https://github.com/tesseract-ocr/tesseract,https://github.com/anonymized-for-blind-review/tesseract,200,2024-07-18T09:35:32Z,200,
SynapseML,https://github.com/microsoft/SynapseML,https://github.com/anonymized-for-blind-review/SynapseML,200,2025-12-25T09:42:12Z,200,
SOMPY,https://github.com/sevamoo/SOMPY,https://github.com/anonymized-for-blind-review/SOMPY,200,2024-07-25T09:35:08Z,200,
eurybia,https://github.com/MAIF/eurybia,https://github.com/anonymized-for-blind-review/eurybia,200,2024-07-25T09:37:08Z,200,
FEDOT,https://github.com/aimclub/FEDOT,https://github.com/anonymized-for-blind-review/FEDOT,200,2024-07-25T09:31:23Z,200,2026-04-15T16:09:15Z
lightly,https://github.com/lightly-ai/lightly,https://github.com/anonymized-for-blind-review/lightly,200,2024-10-31T09:37:07Z,200,2026-07-22T13:30:34Z
mljar-supervised,https://github.com/mljar/mljar-supervised,https://github.com/anonymized-for-blind-review/mljar-supervised,200,2024-07-25T09:31:09Z,200,
deeppy,https://github.com/andersbll/deeppy,https://github.com/anonymized-for-blind-review/deeppy,200,2024-07-18T09:32:25Z,200,
mindsdb,https://github.com/mindsdb/mindsdb,https://github.com/anonymized-for-blind-review/mindsdb,200,2024-09-26T09:35:22Z,200,2026-08-12T21:49:06Z
alibi,https://github.com/SeldonIO/alibi,https://github.com/anonymized-for-blind-review/alibi,200,2025-12-25T09:43:53Z,200,2026-07-22T23:24:54Z
sparklingpandas,https://github.com/sparklingpandas/sparklingpandas,https://github.com/anonymized-for-blind-review/sparklingpandas,200,2024-07-25T09:33:19Z,200,2026-07-10T10:23:32Z
spaCy,https://github.com/explosion/spaCy,https://github.com/anonymized-for-blind-review/spaCy,200,2024-08-22T09:36:52Z,200,
pybroker,https://github.com/edtechre/pybroker,https://github.com/anonymized-for-blind-review/pybroker,200,2024-07-25T09:36:37Z,200,
jProcessing,https://github.com/kevincobain2000/jProcessing,https://github.com/anonymized-for-blind-review/jProcessing,200,2024-07-25T09:31:56Z,200,
retinaface,https://github.com/serengil/retinaface,https://github.com/anonymized-for-blind-review/retinaface,200,2024-07-18T09:39:41Z,200,
neuraltalk,https://github.com/karpathy/neuraltalk,https://github.com/anonymized-for-blind-review/neuraltalk,200,2024-07-25T09:31:50Z,200,
pytorch-image-models,https://github.com/huggingface/pytorch-image-models,https://github.com/anonymized-for-blind-review/pytorch-image-models,200,2024-07-18T09:42:57Z,200,
tdb,https://github.com/ericjang/tdb,https://github.com/anonymized-for-blind-review/tdb,200,2024-07-25T09:38:27Z,200,2024-05-24T01:34:29Z
mlx,https://github.com/ml-explore/mlx,https://github.com/anonymized-for-blind-review/mlx,200,2024-07-18T09:42:23Z,200,
scikit-learn-intelex,https://github.com/intel/scikit-learn-intelex,https://github.com/anonymized-for-blind-review/scikit-learn-intelex,200,2024-09-12T09:35:56Z,200,2026-07-21T02:09:56Z
deeplake,https://github.com/activeloopai/deeplake,https://github.com/anonymized-for-blind-review/deeplake,200,2024-07-25T09:36:33Z,200,2026-07-28T06:41:18Z
minigrad,https://github.com/kennysong/minigrad,https://github.com/anonymized-for-blind-review/minigrad,200,2024-09-26T09:38:01Z,200,2026-07-26T12:27:42Z
Neuraxle,https://github.com/Neuraxio/Neuraxle,https://github.com/anonymized-for-blind-review/Neuraxle,200,2024-07-25T09:37:18Z,200,2026-02-20T20:39:39Z
dedupe,https://github.com/dedupeio/dedupe,https://github.com/anonymized-for-blind-review/dedupe,200,2024-07-18T09:40:19Z,200,
segmentation_models,https://github.com/qubvel/segmentation_models,https://github.com/anonymized-for-blind-review/segmentation_models,200,2024-07-18T09:32:27Z,200,
stellargraph,https://github.com/stellargraph/stellargraph,https://github.com/anonymized-for-blind-review/stellargraph,200,2025-12-25T09:42:14Z,200,2026-07-24T02:03:09Z
pix2pix-keras,https://github.com/williamFalcon/pix2pix-keras,https://github.com/anonymized-for-blind-review/pix2pix-keras,200,2024-07-18T09:40:28Z,200,2026-08-09T15:51:31Z
miraiml,https://github.com/arthurpaulino/miraiml,https://github.com/anonymized-for-blind-review/miraiml,200,2024-07-25T09:35:02Z,200,2026-04-14T02:46:04Z
upgini,https://github.com/upgini/upgini,https://github.com/anonymized-for-blind-review/upgini,200,2025-12-25T09:42:27Z,200,2024-10-09T17:02:06Z
xcessiv,https://github.com/reiinakano/xcessiv,https://github.com/anonymized-for-blind-review/xcessiv,200,2024-07-18T09:39:11Z,200,2026-07-25T11:10:57Z
pytorch,https://github.com/pytorch/pytorch,https://github.com/anonymized-for-blind-review/pytorch,200,2025-12-25T09:51:02Z,200,2026-07-24T11:38:44Z
convnet-benchmarks,https://github.com/soumith/convnet-benchmarks,https://github.com/anonymized-for-blind-review/convnet-benchmarks,200,2024-07-18T09:38:07Z,200,
frouros,https://github.com/IFCA-Advanced-Computing/frouros,https://github.com/anonymized-for-blind-review/frouros,200,2024-07-25T09:37:28Z,200,2026-03-26T15:35:34Z
bytehub,https://github.com/bytehub-ai/bytehub,https://github.com/anonymized-for-blind-review/bytehub,200,2025-12-25T09:40:04Z,200,
somoclu,https://github.com/peterwittek/somoclu,https://github.com/anonymized-for-blind-review/somoclu,200,2024-07-25T09:31:15Z,200,
nn_builder,https://github.com/p-christ/nn_builder,https://github.com/anonymized-for-blind-review/nn_builder,200,2024-10-03T09:34:34Z,200,2026-07-23T22:07:30Z
pattern,https://github.com/clips/pattern,https://github.com/anonymized-for-blind-review/pattern,200,2024-07-18T09:39:24Z,200,
tensorwatch,https://github.com/microsoft/tensorwatch,https://github.com/anonymized-for-blind-review/tensorwatch,200,2024-07-25T09:34:42Z,200,
hebel,https://github.com/hannes-brt/hebel,https://github.com/anonymized-for-blind-review/hebel,200,2024-07-18T09:38:43Z,200,
notebook,https://github.com/jupyter/notebook,https://github.com/anonymized-for-blind-review/notebook,200,2026-04-09T10:36:34Z,200,2026-08-14T04:11:18Z
visualize_ML,https://github.com/ayush1997/visualize_ML,https://github.com/anonymized-for-blind-review/visualize_ML,200,2024-07-25T09:33:31Z,200,
pyhsmm,https://github.com/mattjj/pyhsmm,https://github.com/anonymized-for-blind-review/pyhsmm,200,2024-07-18T09:42:36Z,200,
GreatCircle,https://github.com/mwgg/GreatCircle,https://github.com/anonymized-for-blind-review/GreatCircle,200,2024-07-25T09:31:01Z,200,
pyod,https://github.com/yzhao062/pyod,https://github.com/anonymized-for-blind-review/pyod,200,2025-12-25T09:40:28Z,200,2026-08-09T12:05:04Z
Metaworld,https://github.com/Farama-Foundation/Metaworld,https://github.com/anonymized-for-blind-review/Metaworld,200,2024-07-25T09:37:18Z,200,
chefboost,https://github.com/serengil/chefboost,https://github.com/anonymized-for-blind-review/chefboost,200,2025-12-25T09:40:25Z,200,
dtaidistance,https://github.com/wannesm/dtaidistance,https://github.com/anonymized-for-blind-review/dtaidistance,200,2024-07-18T09:32:47Z,200,
couler,https://github.com/couler-proj/couler,https://github.com/anonymized-for-blind-review/couler,200,2024-10-24T09:36:56Z,200,2026-07-02T06:27:41Z
distance,https://github.com/doukremt/distance,https://github.com/anonymized-for-blind-review/distance,200,2024-07-18T09:38:32Z,200,
igel,https://github.com/nidhaloff/igel,https://github.com/anonymized-for-blind-review/igel,200,2024-10-03T09:35:28Z,200,2026-08-09T03:32:15Z
bowtie,https://github.com/jwkvam/bowtie,https://github.com/anonymized-for-blind-review/bowtie,200,2025-12-25T09:41:27Z,200,2024-05-20T13:34:29Z
keras,https://github.com/keras-team/keras,https://github.com/anonymized-for-blind-review/keras,200,2024-10-03T09:35:31Z,200,2026-07-17T23:19:57Z
determined,https://github.com/determined-ai/determined,https://github.com/anonymized-for-blind-review/determined,200,2024-09-26T09:41:00Z,200,2026-08-14T04:19:40Z
prodmodel,https://github.com/prodmodel/prodmodel,https://github.com/anonymized-for-blind-review/prodmodel,200,2024-07-25T09:36:27Z,200,2026-04-13T17:00:32Z
bokeh,https://github.com/bokeh/bokeh,https://github.com/anonymized-for-blind-review/bokeh,200,2024-08-18T23:31:50Z,200,2026-08-10T16:47:17Z
PCV,https://github.com/jesolem/PCV,https://github.com/anonymized-for-blind-review/PCV,200,2024-07-18T09:30:28Z,200,
PyTorchCV,https://github.com/donnyyou/PyTorchCV,https://github.com/anonymized-for-blind-review/PyTorchCV,200,2024-07-18T09:34:27Z,200,2026-02-20T19:00:49Z
comet-llm,https://github.com/comet-ml/comet-llm,https://github.com/anonymized-for-blind-review/comet-llm,200,2025-12-25T09:42:02Z,200,
metric-learn,https://github.com/scikit-learn-contrib/metric-learn,https://github.com/anonymized-for-blind-review/metric-learn,200,2024-07-18T09:34:10Z,200,
sktime,https://github.com/sktime/sktime,https://github.com/anonymized-for-blind-review/sktime,200,2024-07-25T09:37:00Z,200,2024-06-18T01:14:54Z
bayeso,https://github.com/jungtaekkim/bayeso,https://github.com/anonymized-for-blind-review/bayeso,200,2025-12-25T09:43:24Z,200,
maze,https://github.com/enlite-ai/maze,https://github.com/anonymized-for-blind-review/maze,200,2024-07-25T09:37:12Z,200,2025-03-05T20:42:15Z
nilearn,https://github.com/nilearn/nilearn,https://github.com/anonymized-for-blind-review/nilearn,200,2024-07-18T09:30:58Z,200,
quepy,https://github.com/machinalis/quepy,https://github.com/anonymized-for-blind-review/quepy,200,2025-10-24T19:55:50Z,200,
DeepPavlov,https://github.com/deeppavlov/DeepPavlov,https://github.com/anonymized-for-blind-review/DeepPavlov,200,2024-08-22T09:34:37Z,200,2026-08-13T22:36:51Z
deepface,https://github.com/serengil/deepface,https://github.com/anonymized-for-blind-review/deepface,200,2024-07-18T09:37:53Z,200,
dl-translate,https://github.com/xhluca/dl-translate,https://github.com/anonymized-for-blind-review/dl-translate,200,2024-07-18T09:42:59Z,200,2025-03-05T20:42:15Z
mist,https://github.com/Hydrospheredata/mist,https://github.com/anonymized-for-blind-review/mist,200,2024-07-18T09:36:39Z,200,2026-04-13T17:07:08Z
garage,https://github.com/rlworkgroup/garage,https://github.com/anonymized-for-blind-review/garage,200,2024-07-25T09:38:00Z,200,2026-07-17T23:18:24Z
neuropredict,https://github.com/raamana/neuropredict,https://github.com/anonymized-for-blind-review/neuropredict,200,2024-07-18T09:40:46Z,200,
gradio,https://github.com/gradio-app/gradio,https://github.com/anonymized-for-blind-review/gradio,200,2025-12-25T09:41:17Z,200,2026-08-14T04:19:40Z
AutoViz,https://github.com/AutoViML/AutoViz,https://github.com/anonymized-for-blind-review/AutoViz,200,2025-12-25T09:41:18Z,200,
pybrain,https://github.com/pybrain/pybrain,https://github.com/anonymized-for-blind-review/pybrain,200,2024-07-18T09:36:18Z,200,
skll,https://github.com/EducationalTestingService/skll,https://github.com/anonymized-for-blind-review/skll,200,2024-07-18T09:35:24Z,200,2024-06-18T01:15:11Z
backprop,https://github.com/backprop-ai/backprop,https://github.com/anonymized-for-blind-review/backprop,200,2025-12-25T09:40:48Z,200,2026-07-17T17:06:00Z
dash,https://github.com/plotly/dash,https://github.com/anonymized-for-blind-review/dash,200,2025-10-24T19:51:28Z,200,2026-08-14T04:19:47Z
keras-tuner,https://github.com/keras-team/keras-tuner,https://github.com/anonymized-for-blind-review/keras-tuner,200,2024-07-25T09:35:28Z,200,
seaborn,https://github.com/mwaskom/seaborn,https://github.com/anonymized-for-blind-review/seaborn,200,2025-12-25T09:41:44Z,200,
climin,https://github.com/BRML/climin,https://github.com/anonymized-for-blind-review/climin,200,2024-07-25T09:31:22Z,200,
pastalog,https://github.com/rewonc/pastalog,https://github.com/anonymized-for-blind-review/pastalog,200,2024-07-25T09:33:31Z,200,2026-07-25T11:14:50Z
typer,https://github.com/tiangolo/typer,https://github.com/anonymized-for-blind-review/typer,200,2025-12-25T09:40:50Z,200,2026-07-21T11:35:39Z
littleballoffur,https://github.com/benedekrozemberczki/littleballoffur,https://github.com/anonymized-for-blind-review/littleballoffur,200,2024-07-18T09:34:00Z,200,
lab,https://github.com/google-deepmind/lab,https://github.com/anonymized-for-blind-review/lab,200,2024-07-25T09:33:33Z,200,
Petrel,https://github.com/AirSage/Petrel,https://github.com/anonymized-for-blind-review/Petrel,200,2024-07-25T09:30:59Z,200,2026-07-02T02:06:42Z
haystack,https://github.com/deepset-ai/haystack,https://github.com/anonymized-for-blind-review/haystack,200,2024-07-18T09:42:50Z,200,
Parris,https://github.com/jgreenemi/Parris,https://github.com/anonymized-for-blind-review/Parris,200,2024-07-25T09:31:16Z,200,
rockpool,https://github.com/synsense/rockpool,https://github.com/anonymized-for-blind-review/rockpool,200,2025-10-24T19:55:33Z,200,
evostra,https://github.com/alirezamika/evostra,https://github.com/anonymized-for-blind-review/evostra,200,2024-07-25T09:31:20Z,200,
bigartm,https://github.com/bigartm/bigartm,https://github.com/anonymized-for-blind-review/bigartm,200,2025-12-25T09:42:50Z,200,2026-02-05T15:51:48Z
deep-learning-project-template,https://github.com/Lightning-AI/deep-learning-project-template,https://github.com/anonymized-for-blind-review/deep-learning-project-template,200,2024-07-18T09:36:06Z,200,
loso,https://github.com/fangpenlin/loso,https://github.com/anonymized-for-blind-review/loso,200,2024-07-18T09:42:29Z,200,
python-ucto,https://github.com/proycon/python-ucto,https://github.com/anonymized-for-blind-review/python-ucto,200,2024-07-18T09:37:09Z,200,
pgmpy,https://github.com/pgmpy/pgmpy,https://github.com/anonymized-for-blind-review/pgmpy,200,2024-07-18T09:43:28Z,200,
jieba,https://github.com/fxsjy/jieba,https://github.com/anonymized-for-blind-review/jieba,200,2024-07-18T09:37:03Z,200,
scikit-image,https://github.com/scikit-image/scikit-image,https://github.com/anonymized-for-blind-review/scikit-image,200,2024-07-18T09:30:53Z,200,
DIGITS,https://github.com/NVIDIA/DIGITS,https://github.com/anonymized-for-blind-review/DIGITS,200,2024-07-25T09:31:49Z,200,2026-07-25T06:16:55Z
polyglot,https://github.com/aboSamoor/polyglot,https://github.com/anonymized-for-blind-review/polyglot,200,2024-07-18T09:40:32Z,200,
xlearn,https://github.com/aksnzhy/xlearn,https://github.com/anonymized-for-blind-review/xlearn,200,2024-07-25T09:37:03Z,200,
deap,https://github.com/deap/deap,https://github.com/anonymized-for-blind-review/deap,200,2024-07-18T09:36:33Z,200,
annoy,https://github.com/spotify/annoy,https://github.com/anonymized-for-blind-review/annoy,200,2025-12-25T09:40:41Z,200,
